bus,phase,V_pu_my,V_ang_my,V_pu_bench,V_ang_bench,err_V_pu,err_V_ang_deg
611,C,0.9804887223212378,119.22492361186872,0.9608253586622234,115.7385368510119,0.019663363659014443,3.486386760856817
632,A,0.9940183037847328,-0.5482099113825875,1.014345484572737,-2.530310983198357,0.02032718078800433,1.9821010718157694
632,B,0.9957628063672348,-120.15502496209062,1.0289584067634037,-121.75852585971344,0.03319560039616887,1.6035008976228227
632,C,0.989287235495342,119.54608405834654,1.0041782303061044,117.76611744392252,0.014890994810762392,1.779966614424012
633,A,0.9940218398489874,-0.5481428447088779,1.0113031082405313,-2.5955955967876205,0.01728126839154387,2.0474527520787427
633,B,0.9957622369686894,-120.15500750094756,1.0270309232243604,-121.80478578813673,0.03126868625567103,1.6497782871891644
633,C,0.9892901380181665,119.54610559386552,1.0015306276228226,117.7613377050354,0.01224048960465618,1.7847678888301175
634,A,1.0,0.0,0.9871617562786974,-3.280874778498324,0.0128382437213026,3.280874778498324
634,B,1.0,-120.0,1.0084332104903233,-122.27280813532224,0.008433210490323306,2.2728081353222365
634,C,1.0,120.0,0.982438924464764,117.26869794638225,0.017561075535236004,2.7313020536177532
645,B,0.9949421529118262,-120.17394442908748,1.0197429346396178,-121.93954757412928,0.024800781727791654,1.7656031450417942
645,C,0.9890111088990632,119.51770760821942,1.0022640075629796,117.79209731598414,0.013252898663916435,1.725610292235288
646,B,0.9948815559387718,-120.1713837294282,1.0180269730846565,-122.01516968641998,0.023145417145884695,1.8437859569917805
646,C,0.9886635179918258,119.50680112189444,1.000229803772758,117.837389953974,0.011566285780932106,1.669411167920444
650,A,1.0,0.0,0.9999126007987832,-0.0120768131456913,8.7399201216809e-05,0.0120768131456913
650,B,1.0,-120.0,0.9999841122433816,-120.01002323655422,1.5887756618426785e-05,0.010023236554218329
650,C,1.0,120.0,0.9999160283632664,119.98676615909028,8.397163673357078e-05,0.01323384090972013
652,A,0.9864561319664576,-1.1859514752600493,0.9753363741721056,-5.323374616385769,0.011119757794352036,4.13742314112572
670,A,0.9917790315295004,-0.7533232844559324,1.004027170857096,-3.456816195421638,0.012248139327595609,2.7034929109657053
670,B,0.9954445259728016,-120.18169572549914,1.0318841622372965,-121.97196409453132,0.03643963626449487,1.7902683690321766
670,C,0.9861022869114444,119.43058739166976,0.9897350490127368,117.10346982761436,0.003632762101292375,2.327117564055399
671,A,0.9869901071932388,-1.1650406450280442,0.982799384537667,-5.374756725129599,0.004190722655571744,4.209716080101554
671,B,0.9954423286310224,-120.24169387050996,1.0402895409919974,-122.38960474594413,0.044847212360975,2.147910875434164
671,C,0.9806000186441716,119.24831892940664,0.9648713097193066,115.98746592682016,0.015728708924864998,3.2608530025864724
675,A,0.9865515338774004,-1.2636304248823544,0.976275203682542,-5.623738016626565,0.010276330194858407,4.360107591744211
675,B,0.9963900209575391,-120.23777310511976,1.0426459104123649,-122.567133221924,0.04625588945482573,2.3293601168042386
675,C,0.9797506133054044,119.24404986301072,0.9629374890864996,116.00390373484724,0.016813124218904796,3.240146128163474
680,A,0.9870138607934428,-1.1641656401534433,0.98279939707606,-5.3747570832603,0.004214463717382766,4.210591443106857
680,B,0.9954448847200088,-120.24145182711672,1.040289555833615,-122.38960485880943,0.04484467111360613,2.148153031692715
680,C,0.980625408632909,119.24888645519351,0.9648713235077316,115.98746564674047,0.015754085125177397,3.261420808453039
684,A,0.9868750388605116,-1.17273565378184,0.9808759789989064,-5.398030273020416,0.005999059861605205,4.225294619238577
684,C,0.980493519034904,119.23549778447806,0.9628412925005502,115.8854974243582,0.017652226534353832,3.35000036011985
692,A,0.9870138507698186,-1.1641655733267802,0.982799375171104,-5.374756598503594,0.004214475598714573,4.2105910251768135
692,B,0.9954448831795066,-120.241451904207,1.040289539853298,-122.38960488998488,0.04484465667379145,2.148152985777884
692,C,0.98062540237257,119.2488864812754,0.9648713022723449,115.98746598312772,0.015754100100225155,3.261420498147686
rg60,A,1.0,0.0,1.0560350565367609,-0.0140245884751537,0.056035056536760885,0.0140245884751537
rg60,B,1.0,-120.0,1.0373994430393634,-120.01206222808464,0.03739944303936338,0.012062228084644744
rg60,C,1.0,120.0,1.0560337778614255,119.9844642935198,0.05603377786142549,0.015535706480193312
sourcebus,A,1.0,0.0,0.9999529943630896,-0.0088687018490335,4.700563691040216e-05,0.0088687018490335
sourcebus,B,0.9999999999999998,-120.0,1.0000081508424197,-120.00747801025466,8.150842419896165e-06,0.007478010254658329
sourcebus,C,0.9999999999999998,120.0,0.9999563468139708,119.9902268660561,4.3653186028946855e-05,0.009773133943895118
